SKU;id;Price;Special_Price
maf0116200001;58267;46;37
maf0116200003;58266;42;34
maf0116250000;58262;67;54
maf011632000B;58255;61;49
maf011632000R;58254;61;49
maf0116380000;58250;49;40
maf0116390000;58249;53;43
maf0119370000;58235;149;120
maf0119400000;58232;89;72
maf0119600001;58209;114;92
maf0119660000;58201;44;36
maf0119670000;58200;23;19
maf0119680001;58199;66;53
maf0119680002;58198;50;40
maf0119730000;58188;25;20
maf011978000A;58183;60;48
maf011978000B;58182;60;48
maf0119930000;58161;44;36
maf0119940000;58160;57;46
maf0119960000;58158;59;48
maf0120270000;58752;291;233
maf0120280000;58751;269;216
maf0120290000;58753;276;221
maf0318460000;58110;113;91
maf031987000B;58085;106;85
maf032040000A;58075;124;100
maf032040000B;58074;91;73
maf032044000B;58071;85;68
maf032044000C;58070;99;80
maf032048000B;58065;107;86
maf0320900000;58042;154;124
maf0320960000;58041;178;143
maf0321100000;58033;167;134
maf032117000A;58030;156;125
maf032118000B;58028;91;73
maf0321310000;58015;123;99
maf0321700000;57996;120;96
maf0321840000;57993;142;114
maf0321890000;57991;95;76
maf0321910000;57989;56;45
maf032199000R;57984;143;115
maf03219900RE;57983;126;101
maf0322020003;57982;79;64
maf0322040000;57981;133;107
maf0322050000;57980;133;107
maf0322080000;57979;100;80
maf0322120000;57977;214;172
maf032231000A;57971;46;37
maf032231000C;57970;46;37
maf032248000B;57966;119;96
maf032250000A;57965;119;96
maf032250000B;57964;119;96
maf032254000A;57963;119;96
maf032254000B;57962;119;96
maf032255000A;57961;71;57
maf032255000B;57960;71;57
maf0322600000;57957;281;225
maf0322630000;57956;95;76
maf0322640000;57955;120;96
maf0322650000;57954;141;113
maf0322660000;57953;77;62
maf0322670000;57952;128;103
maf0322720000;57951;202;162
maf032278000A;57949;100;80
maf032278000B;57948;100;80
maf0322790000;57947;81;65
maf0322830000;57944;135;108
maf0322860000;57943;149;120
maf032288000A;57942;135;108
maf032288000B;57941;137;110
maf032295000A;57940;123;99
maf0323090000;57932;123;99
maf0323100000;57931;201;161
maf0323140000;57928;74;60
maf032319000A;57925;58;47
maf032319000B;57924;58;47
maf0323240000;57923;129;104
maf0323270000;57921;134;108
maf0323280000;57920;110;88
maf0323290000;57919;113;91
maf0323330000;57918;66;53
maf0323450000;57910;100;80
maf0323460000;57909;154;124
maf032352000B;57902;132;106
maf032354000B;57899;112;90
maf032358000B;57892;105;84
maf032359000B;57890;106;85
maf032360000A;57889;59;48
maf032360000B;57888;59;48
maf032362000A;57885;63;51
maf032362000B;57884;63;51
maf0323640000;57882;72;58
maf0323660000;57880;54;44
maf0323670000;57879;36;29
maf0323820000;57865;100;80
maf0323840000;57863;101;81
maf0323890000;57858;137;110
maf0323910000;57856;92;74
maf0323930000;57854;87;70
maf0323940000;57853;176;141
maf0324010000;57846;57;46
maf0324030000;57844;51;41
maf032416000A;57825;75;60
maf0324190000;57819;116;93
maf032426000A;57812;59;48
maf032426000B;57811;58;47
maf0324300000;57807;40;32
maf0324310000;57806;35;28
maf0324400000;57797;83;67
maf032443000A;57794;76;61
maf032443000B;57793;76;61
maf0324480000;57788;111;89
maf0325500000;57786;55;44
maf0325540000;57783;55;44
maf0325580000;57781;55;44
maf0325590000;57780;101;81
maf032560000A;57779;142;114
maf0325680000;57769;124;100
maf0325810000;57750;71;57
maf0325820000;57749;71;57
maf0372430001;57718;37;30
maf0372430003;57717;31;25
maf0372440001;57716;37;30
maf0372440003;57715;31;25
maf0372450001;57714;37;30
maf0372450003;57713;32;26
maf0372460001;57712;37;30
maf0372460003;57711;30;24
maf0420300000;57666;46;37
maf0420680000;57661;72;58
maf0420690000;57660;46;37
maf0420700000;57659;50;40
maf0420730001;57657;33;27
maf0420730003;57656;31;25
maf042075000C;57651;60;48
maf0420820000;57643;74;60
maf0420920001;57628;89;72
maf0420920003;57627;62;50
maf042095000A;57622;101;81
maf042095000F;57621;108;87
maf042095000L;57620;101;81
maf042095000P;57619;108;87
maf0421070001;57596;44;36
maf0421070003;57595;40;32
maf0647530000;57554;147;118
maf0647910000;57535;83;67
maf064800000A;57528;61;49
maf064800000B;57527;61;49
maf0648020000;57526;94;76
maf0648030000;57525;97;78
maf0648100001;57519;173;139
maf0648100003;57518;108;87
maf0648120001;57515;173;139
maf0648120003;57514;108;87
maf0648150000;57511;129;104
maf0648220000;57504;73;59
maf0648230000;57503;73;59
maf0648240000;57502;77;62
maf064825000A;57501;84;68
maf064825000B;57500;84;68
maf0648260000;57499;92;74
maf0648270000;57498;94;76
maf0648280000;57497;93;75
maf0648290000;57496;86;69
maf0648320000;57493;64;52
maf0660770000;57471;112;90
maf0660780000;57470;143;115
maf0660840003;57464;137;110
maf0660850000;57463;87;70
maf0660880000;57462;96;77
maf0660970000;57459;257;206
maf0661120000;57455;121;97
maf0661130000;57454;127;102
maf0661140000;57453;104;84
maf0661150000;57452;103;83
maf066123000B;57437;153;123
maf066134000F;57427;377;302
maf066134000V;57426;377;302
maf06613400BL;57425;377;302
maf1422840000;58569;125;100
maf1425320000;58564;329;264
maf1425990000;58563;188;151
maf1426560000;57399;177;142
maf1427000000;57398;120;96
maf160746000A;57392;85;68
maf160746000B;57391;93;75
maf1607480000;58557;155;124
maf1607580000;57376;28;23
maf1607590000;57375;28;23
maf171006000B;58553;49;40
maf171007000I;58551;126;101
maf1711840000;58501;112;90
maf1711990003;58487;93;75
maf171211000V;58475;126;101
maf1712130000;58473;110;88
maf1712350000;58449;174;140
maf171243000B;58441;116;93
maf1712440000;58440;192;154
maf1712460003;58437;224;180
maf1712460005;58436;296;237
maf1712530001;58428;186;149
maf171256000G;58424;118;95
maf171256000R;58423;118;95
maf171256000V;58422;118;95
maf171257000A;58421;104;84
maf171257000B;58420;104;84
maf171258000A;58419;105;84
maf171258000B;58418;96;77
maf1712590000;58417;96;77
maf1712600000;58416;93;75
maf1712770000;58394;205;164
maf171278000B;58393;106;85
maf171278000R;58392;106;85
maf171279000B;58391;102;82
maf171279000R;58390;102;82
maf1712810003;58388;116;93
maf1903400000;57358;51;41
maf1903410000;57357;77;62
maf1903760001;57346;42;34
maf1903760003;57345;43;35
maf1903780001;57344;41;33
maf1903790000;57342;71;57
maf1903800000;57341;77;62
maf190381000A;57340;42;34
maf190381000B;57339;42;34
maf190382000R;57338;41;33
maf190382000V;57337;40;32
maf1903850000;57335;55;44
maf1903880000;57333;97;78
maf1903890000;58902;64;52
maf1903900000;57332;113;91
maf1903910000;57331;92;74
maf1903920000;57330;99;80
maf1903930000;57329;106;85
maf1903980001;57326;74;60
maf1903980003;57325;63;51
